Investor,City,Country,Latitude,Longitude,Closest FUA
EDP Ventures,Lisbon,Portugal,38.7077507,-9.1365919,Lisboa
PLD Automobile,Paris,France,48.8534951,2.3483915,Paris
Augusto Parodi,Paris,France,48.8534951,2.3483915,Paris
Sofinnova Ventures,Paris,France,48.8534951,2.3483915,Paris
iXO Private Equity,Toulouse,France,43.6044622,1.4442469,Toulouse
Sofilaro Capital,Montpellier,France,43.6112422,3.8767337,Montpellier
Irdi Soridec Gestion,Toulouse,France,43.6044622,1.4442469,Toulouse
Sofimac Innovation,Paris,France,48.8534951,2.3483915,Paris
L'Oreal,Paris,France,48.8534951,2.3483915,Paris
IRDI Midi Pyrenees,Toulouse,France,43.6044622,1.4442469,Toulouse
Sofimac Partners,Paris,France,48.8534951,2.3483915,Paris
Demeter,Paris,France,48.8534951,2.3483915,Paris
European Innovation Council and SMEs Executive Agency (EISMEA),Brussels,Belgium,50.8465573,4.351697,Mechelen
Noria Invest,Paris,France,48.8534951,2.3483915,Paris
Swen Capital Partners,Paris,France,48.8534951,2.3483915,Paris
Banque des Territoires,Paris,France,48.8534951,2.3483915,Paris
Ovive,Paris,France,48.8534951,2.3483915,Paris
Ouest Croissance,Nantes,France,47.2186371,-1.5541362,Nantes
Océan Participations,Nantes,France,47.2186371,-1.5541362,Nantes
Andera Partners,Paris,France,48.8534951,2.3483915,Paris
Société Financière Lorient Développementis,Lorient,France,47.7477336,-3.3660907,Lorient
EDPR,Madrid,Spain,40.4167047,-3.7035825,Madrid
Caisse des Dépôts et Consignations,Paris,France,48.8534951,2.3483915,Paris
Avolta Partners,Paris,France,48.8534951,2.3483915,Paris
Caisse des Dépôts - CDC Group,Paris,France,48.8534951,2.3483915,Paris
Groupe Casino,Paris,France,48.8534951,2.3483915,Paris
EIT Digital Accelerator,Brussels,Belgium,50.8465573,4.351697,Mechelen
Ventech,Paris,France,48.8534951,2.3483915,Paris
Colam Impact,Paris,France,48.8534951,2.3483915,Paris
ADEME Investissement,Paris,France,48.8534951,2.3483915,Paris
Speedinvest,Vienna,Austria,48.2083537,16.3725042,Wien
Vsquared Ventures,Munich,Germany,48.1371079,11.5753822,München
Lawrence Leuschner,Berlin,Germany,52.510885,13.3989367,Berlin
Kai Hansen,Berlin,Germany,52.510885,13.3989367,Berlin
Torge Thönnessen,Berlin,Germany,52.510885,13.3989367,Berlin
Leopold König,Berlin,Germany,52.510885,13.3989367,Berlin
Maximilian Odendahl,Berlin,Germany,52.510885,13.3989367,Berlin
Karim Tabet Jalbout,Berlin,Germany,52.510885,13.3989367,Berlin
RWTH Aachen University,Aachen,Germany,50.776351,6.083862,Aachen
10X Founders,Munich,Germany,48.1371079,11.5753822,München
Surplus Invest,Munich,Germany,48.1371079,11.5753822,München
PropTech1 Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Wi Venture,Berlin,Germany,52.510885,13.3989367,Berlin
Alexander Ljung,Berlin,Germany,52.510885,13.3989367,Berlin
Christian Vollmann,Berlin,Germany,52.510885,13.3989367,Berlin
SB21 - Saarbruecker21,Saarbrücken,Germany,49.234362,6.996379,Saarbrücken
Warema,Marktheidenfeld,Germany,49.8452797,9.6067197,Würzburg
Eurowatt,Paris,France,48.8534951,2.3483915,Paris
Kouros SA,Paris,France,48.8534951,2.3483915,Paris
Altya Invest,Paris,France,48.8534951,2.3483915,Paris
Schneider Electric,Rueil-Malmaison,France,48.87778,2.1802832,Paris
IDEC Group,Paris,France,48.8534951,2.3483915,Paris
EQT Ventures,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Groupe Renault,Boulogne-Billancourt,France,48.8356649,2.240206,Paris
Région Auvergne-Rhône-Alpes,Lyon,France,45.7578137,4.8320114,Lyon
Capgemini,Paris,France,48.8534951,2.3483915,Paris
Arkema,Colombes,France,48.922788,2.2543577,Saint-Denis
Planet A Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Extantia Capital,Berlin,Germany,52.510885,13.3989367,Berlin
Planet A,Berlin,Germany,52.510885,13.3989367,Berlin
FO Holding,Paris,France,48.8534951,2.3483915,Paris
Engie,Paris,France,48.8534951,2.3483915,Paris
Safran,Paris,France,48.8534951,2.3483915,Paris
MPC,Hamburg,Germany,53.550341,10.000654,Hamburg
Federal Ministry for the Environment Nature Conservation Nuclear Safety and Consumer Protection,Berlin,Germany,52.510885,13.3989367,Berlin
VTT Ventures,Espoo,Finland,60.2047672,24.6568435,Helsinki/Helsingfors
Green Campus Innovations,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Fazer,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Holdix,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
EIT FAN Helsinki (Food Accelerator Network),Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
ESA BIC Finland,Espoo,Finland,60.2047672,24.6568435,Helsinki/Helsingfors
BOM Brabant Ventures,Eindhoven,Netherlands,51.4392648,5.478633,Eindhoven
UNIIQ,Rotterdam,Netherlands,51.9244424,4.47775,Rotterdam
Pjotr van Schothorst,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
PVS Investments,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
TNO - Netherlands Organisation for Applied Scientific Research,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Yard Energy,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
DOEN Participaties,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
InnovationQuarter,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Dutch Ministry of Economic Affairs and Climate Policy,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Somerset Capital Partners,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Berlin Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Bayern Innovativ,Munich,Germany,48.1371079,11.5753822,München
Alantra,Madrid,Spain,40.4167047,-3.7035825,Madrid
5square,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Rubio Impact Ventures,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Particon,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
ScaleUpNation,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Brightlands Venture Partners,Maastricht,Netherlands,50.8512438,5.6909768,Maastricht
EIT RawMaterials,Berlin,Germany,52.510885,13.3989367,Berlin
Chemelot Ventures,Geleen,Netherlands,50.9673322,5.8277007,Sittard-Geleen
Chemistry Fund,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Serena,Paris,France,48.8534951,2.3483915,Paris
Frst,Paris,France,48.8534951,2.3483915,Paris
Grégory Frapet,Paris,France,48.8534951,2.3483915,Paris
Thibault CHASSAGNE,Paris,France,48.8534951,2.3483915,Paris
Karim KADDOURA,Paris,France,48.8534951,2.3483915,Paris
Bertrand Altmayer,Paris,France,48.8534951,2.3483915,Paris
Demba Diallo,Paris,France,48.8534951,2.3483915,Paris
RGreen Invest,Paris,France,48.8534951,2.3483915,Paris
Rive Private Investment,Paris,France,48.8534951,2.3483915,Paris
574 Invest,Paris,France,48.8534951,2.3483915,Paris
RATP,Paris,France,48.8534951,2.3483915,Paris
360 Capital Partners,Paris,France,48.8534951,2.3483915,Paris
SATT Paris-Saclay,Paris,France,48.8534951,2.3483915,Paris
Innovacom,Paris,France,48.8534951,2.3483915,Paris
WaterStart Capital (NCI),Paris,France,48.8534951,2.3483915,Paris
Normandie Capital Investissement,Paris,France,48.8534951,2.3483915,Paris
Karista,Paris,France,48.8534951,2.3483915,Paris
Wilco,Paris,France,48.8534951,2.3483915,Paris
Celad,Paris,France,48.8534951,2.3483915,Paris
Little Green Fund,Paris,France,48.8534951,2.3483915,Paris
globalchangeaward.com,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Estonian Environmental Investment Fund,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Triin Hertmann,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Honey Badger Capital,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
SeedRocket,Barcelona,Spain,41.3828939,2.1774322,Barcelona
Inkemia,Barcelona,Spain,41.3828939,2.1774322,Barcelona
Horizon 2020 FET (Future and Emerging Technologies),Brussels,Belgium,50.8465573,4.351697,Mechelen
SociosInversores,Madrid,Spain,40.4167047,-3.7035825,Madrid
WA4STEAM,Madrid,Spain,40.4167047,-3.7035825,Madrid
SEK Lab EdTech Accelerator,Madrid,Spain,40.4167047,-3.7035825,Madrid
Francisco Espinosa,Madrid,Spain,40.4167047,-3.7035825,Madrid
Marta Huidobro,Madrid,Spain,40.4167047,-3.7035825,Madrid
Pablo Carrallo,Madrid,Spain,40.4167047,-3.7035825,Madrid
JuanJosé Mostazo Salazar,Madrid,Spain,40.4167047,-3.7035825,Madrid
Tensor Ventures,Madrid,Spain,40.4167047,-3.7035825,Madrid
Levels Up Ventures,Madrid,Spain,40.4167047,-3.7035825,Madrid
FX Street,Barcelona,Spain,41.3828939,2.1774322,Barcelona
MotionLab.Berlin,Berlin,Germany,52.510885,13.3989367,Berlin
RESPOND Accelerator,Munich,Germany,48.1371079,11.5753822,München
EQT Group,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Thomas von Koch,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Juha Christensen,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Klaus Oestermann,Copenhagen,Denmark,55.6867243,12.5700724,København
Peter Jensen,Copenhagen,Denmark,55.6867243,12.5700724,København
INDEX: Design to Improve Life,Copenhagen,Denmark,55.6867243,12.5700724,København
Lars Fløe Nielsen,Copenhagen,Denmark,55.6867243,12.5700724,København
Mette Fløe Nielsen,Copenhagen,Denmark,55.6867243,12.5700724,København
Anders Holch Povlsen,Aarhus,Denmark,56.1496278,10.2134046,Århus
Pre seed innovation,Copenhagen,Denmark,55.6867243,12.5700724,København
Peter Holm,Copenhagen,Denmark,55.6867243,12.5700724,København
Nordic Makers VC,Copenhagen,Denmark,55.6867243,12.5700724,København
Carl Berninghausen,Berlin,Germany,52.510885,13.3989367,Berlin
Paul Wurth,Luxembourg,Luxembourg,49.8158683,6.1296751,Luxembourg
Neste,Espoo,Finland,60.2047672,24.6568435,Helsinki/Helsingfors
Copenhagen Infrastructure Partners,Copenhagen,Denmark,55.6867243,12.5700724,København
Innovestor,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Verdane Capital,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Innovestor Ventures,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Founders' Edge,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Anssi Koivula,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Petri Heino,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Mikko Kärkkäinen,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Fredman Group,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Prodeko Ventures,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Mikko Kuitunen,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Ilkka Ruotsila,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Tertium,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Sofimac Régions,Paris,France,48.8534951,2.3483915,Paris
Undi Private Equity,Paris,France,48.8534951,2.3483915,Paris
Soridec,Montpellier,France,43.6112422,3.8767337,Montpellier
Conseil Plus Gestion,Paris,France,48.8534951,2.3483915,Paris
Amundi Private Equity Funds,Paris,France,48.8534951,2.3483915,Paris
Dominique Michel,Paris,France,48.8534951,2.3483915,Paris
HPC Capital,Paris,France,48.8534951,2.3483915,Paris
CPG Partners,Paris,France,48.8534951,2.3483915,Paris
Io Group,Paris,France,48.8534951,2.3483915,Paris
Crealia,Montpellier,France,43.6112422,3.8767337,Montpellier
Crédit Agricole,Paris,France,48.8534951,2.3483915,Paris
Caisse d'Epargne,Paris,France,48.8534951,2.3483915,Paris
Jean-Marc BUCHET,Paris,France,48.8534951,2.3483915,Paris
Wiwin,Mainz,Germany,50.0012314,8.2762513,Mainz
Korys,Brussels,Belgium,50.8465573,4.351697,Mechelen
Matthias Willenbacher,Mainz,Germany,50.0012314,8.2762513,Mainz
Munich Venture Partners,Munich,Germany,48.1371079,11.5753822,München
Sirius Venture Partners GmbH,Hamburg,Germany,53.550341,10.000654,Hamburg
ByFounders,Copenhagen,Denmark,55.6867243,12.5700724,København
Luminar Ventures,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Startup Sweden,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Findec - Sweden's Fintech Hub,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
2150,Copenhagen,Denmark,55.6867243,12.5700724,København
Hampus Jakobsson,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
CommerzVentures,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
NordicNinja VC,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
2050,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
BaltCap,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Harju Elekter Group,Keila,Estonia,59.3110918,24.420907,Tallinn
UP Invest,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
German Federal Ministry for Economic Affairs and Energy,Berlin,Germany,52.510885,13.3989367,Berlin
Free State of Saxony,Dresden,Germany,51.0493286,13.7381437,Dresden
MM Grupp,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Taavet + Sten,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Bengt Wahlqvist,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Taavet Hinrikus,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Startup Wise Guys,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Controlli,Genoa,Italy,44.40726,8.9338624,Genova
Iren,Reggio Emilia,Italy,44.6086674,10.5940667,Reggio nell'Emilia
GELLIFY,Bologna,Italy,44.4938203,11.3426327,Bologna
Boost Heroes,Milan,Italy,45.4641943,9.1896346,Milano
BIND 4.0 - Basque Open Innovation Platform,Bilbao,Spain,43.2630018,-2.9350039,Bilbao
Iren Up Cleantech Ventures,Reggio Emilia,Italy,44.6086674,10.5940667,Reggio nell'Emilia
Electricite De France,Paris,France,48.8534951,2.3483915,Paris
Equiter,Turin,Italy,45.0677551,7.6824892,Torino
Azimut Libera Impresa SGR,Milan,Italy,45.4641943,9.1896346,Milano
I3P - Incubatore del Politecnico di Torino S.c.p.a.,Turin,Italy,45.0677551,7.6824892,Torino
Timo Syrjala,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Juha Lindfors,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
AJP Holding,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Dreadnought Finance,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Rockstart,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
PDENH,Haarlem,Netherlands,52.3885317,4.6388048,Amsterdam
Kees Koolen,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Enfuro Ventures,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Casper Peeters,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Prototron,Tallinn,Estonia,59.4372155,24.7453688,Tallinn
Expon Capital,Luxembourg,Luxembourg,49.8158683,6.1296751,Luxembourg
Erik Schut,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Ruud Rijbroek,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
DutchBasecamp,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
ABP,Heerlen,Netherlands,50.8775239,5.9815066,Heerlen
Cees Mager,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Terence van Buuren,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Signa Holding,Vienna,Austria,48.2083537,16.3725042,Wien
BonVenture Management,Munich,Germany,48.1371079,11.5753822,München
EWE,Oldenburg,Germany,53.1389753,8.2146017,Oldenburg (Oldenburg)
2bX,Berlin,Germany,52.510885,13.3989367,Berlin
Heilemann brothers' investment vehicle,Berlin,Germany,52.510885,13.3989367,Berlin
Andreas Brenner,Berlin,Germany,52.510885,13.3989367,Berlin
Marc Stöckli,Berlin,Germany,52.510885,13.3989367,Berlin
Friedrich Neuman,Berlin,Germany,52.510885,13.3989367,Berlin
FutureProof Technologies,Berlin,Germany,52.510885,13.3989367,Berlin
High Rise Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Vireo Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Brandenburg Kapital GmbH,Potsdam,Germany,52.4009309,13.0591397,Berlin
Enkidu Venture Capital,Berlin,Germany,52.510885,13.3989367,Berlin
Brandenburg Kapital,Potsdam,Germany,52.4009309,13.0591397,Berlin
First Momentum Ventures,Karlsruhe,Germany,49.0068705,8.4034195,Karlsruhe
Pale blue dot,Malmö,Sweden,55.6052931,13.0001566,Malmö
Amplifierlab,Berlin,Germany,52.510885,13.3989367,Berlin
Nucleus Capital,Berlin,Germany,52.510885,13.3989367,Berlin
Trellis Road,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Cavalry Ventures,Berlin,Germany,52.510885,13.3989367,Berlin
Lars Hinrichs,Hamburg,Germany,53.550341,10.000654,Hamburg
Gloria Baeuerlein,Berlin,Germany,52.510885,13.3989367,Berlin
Emertec Gestion,Paris,France,48.8534951,2.3483915,Paris
Tikehau Ace Capital,Paris,France,48.8534951,2.3483915,Paris
ACG Management,Paris,France,48.8534951,2.3483915,Paris
Aquiti,Bordeaux,France,44.841225,-0.5800364,Bordeaux
Aqui-Invest,Bordeaux,France,44.841225,-0.5800364,Bordeaux
Galia Gestion,Bordeaux,France,44.841225,-0.5800364,Bordeaux
GERBER-RAUTH,Paris,France,48.8534951,2.3483915,Paris
Mans Sarthe Investissements,Paris,France,48.8534951,2.3483915,Paris
Ouest Angels,Nantes,France,47.2186371,-1.5541362,Nantes
Business Angels Des Grandes Ecoles,Paris,France,48.8534951,2.3483915,Paris
Normandy Ventures,Paris,France,48.8534951,2.3483915,Paris
Crédit Agricole Regions Investment,Paris,France,48.8534951,2.3483915,Paris
BADGE,Paris,France,48.8534951,2.3483915,Paris
Nixdorf Kapital Impact Fund,Frankfurt,Germany,50.1106444,8.6820917,Frankfurt am Main
XDECK,Cologne,Germany,50.938361,6.959974,Köln
Caesar Business Angels,Paris,France,48.8534951,2.3483915,Paris
Polipo Ventures,Paris,France,48.8534951,2.3483915,Paris
HW Capital,Paris,France,48.8534951,2.3483915,Paris
Grazia Equity,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
Fraunhofer Venture,Munich,Germany,48.1371079,11.5753822,München
Chemiepark Bitterfeld-Wolfen,Bitterfeld-Wolfen,Germany,51.6425032,12.3076334,Halle an der Saale
Porsche Ventures,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
Schürfeld GmbH & Co. KG,Hamburg,Germany,53.550341,10.000654,Hamburg
Susanne Klatten,Munich,Germany,48.1371079,11.5753822,München
Franz Haniel & Cie,Duisburg,Germany,51.434999,6.759562,Krefeld
Loudspring,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Niklas Geust,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Besodos Investors,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Capillary Oy,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Circlion Capital Oy,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
Tejusa Oy,Helsinki,Finland,60.1674881,24.9427473,Helsinki/Helsingfors
H-FARM Ventures,Roncade,Italy,45.6279075,12.3747797,Venezia
METRO Accelerator,Berlin,Germany,52.510885,13.3989367,Berlin
Olisipo Way,Lisbon,Portugal,38.7077507,-9.1365919,Lisboa
StartUp Sintra,Sintra,Portugal,38.79846,-9.3881,Lisboa
Techstars Berlin,Berlin,Germany,52.510885,13.3989367,Berlin
H-Farm,Roncade,Italy,45.6279075,12.3747797,Venezia
HenkelX Ventures,Düsseldorf,Germany,51.2254018,6.7763137,Düsseldorf
Startup Autobahn,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
Hardware.co Accelerator,Berlin,Germany,52.510885,13.3989367,Berlin
Techtree,Berlin,Germany,52.510885,13.3989367,Berlin
Techstars Stockholm,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Techstars Paris,Paris,France,48.8534951,2.3483915,Paris
Techstars Berlin Accelerator,Berlin,Germany,52.510885,13.3989367,Berlin
AMAVI Capital,Brussels,Belgium,50.8465573,4.351697,Mechelen
Freigeist Capital,Bonn,Germany,50.735851,7.10066,Bonn
Technoport SA,Esch-sur-Alzette,Luxembourg,49.4959628,5.9850306,Hayange
UVC Partners,Munich,Germany,48.1371079,11.5753822,München
Creandum,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Xpreneurs,Munich,Germany,48.1371079,11.5753822,München
Matthias Hilpert,Berlin,Germany,52.510885,13.3989367,Berlin
ESA BIC Bavaria,Oberpfaffenhofen,Germany,48.0732582,11.2649062,München
Technical University Munich (TUM),Munich,Germany,48.1371079,11.5753822,München
Starquest Capital,Paris,France,48.8534951,2.3483915,Paris
123 Investment Managers,Paris,France,48.8534951,2.3483915,Paris
Crédit Coopératif,Paris,France,48.8534951,2.3483915,Paris
Smalt Capital,Paris,France,48.8534951,2.3483915,Paris
Banque Populaire Méditerranée,Marseille,France,43.2961743,5.3699525,Marseille
Vopak,Rotterdam,Netherlands,51.9244424,4.47775,Rotterdam
Covestro,Leverkusen,Germany,51.0324743,6.9881194,Köln
Winkelmann Group,Ahlen,Germany,51.7627633,7.8909086,Münster
Primwest,Paris,France,48.8534951,2.3483915,Paris
Marcel van Poecke,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
AtlasInvest,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
NewSpace Capital,Luxembourg,Luxembourg,49.8158683,6.1296751,Luxembourg
Opera Tech Ventures,Paris,France,48.8534951,2.3483915,Paris
CapHorn Invest,Paris,France,48.8534951,2.3483915,Paris
CapHorn,Paris,France,48.8534951,2.3483915,Paris
ADP,Paris,France,48.8534951,2.3483915,Paris
Concejo,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
KTH Holding,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Greenely,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Timeless Investments,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
DWI Grundbesitz,Berlin,Germany,52.510885,13.3989367,Berlin
SHAPE Capital BV,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Job Dura,Rotterdam,Netherlands,51.9244424,4.47775,Rotterdam
Adunare,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Edge Technologies,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Delft Enterprises,Delft,Netherlands,52.0114017,4.35839,'s-Gravenhage
CDP Venture Capital,Rome,Italy,41.8933203,12.4829321,Roma
Plug and Play Spain,Valencia,Spain,39.4697065,-0.3763353,Valencia
Fondazione di Modena,Modena,Italy,44.5384728,10.9359609,Modena
CRIT Research,Modena,Italy,44.5384728,10.9359609,Modena
A11 Venture,Modena,Italy,44.5384728,10.9359609,Modena
Marvik Investimenti,Modena,Italy,44.5384728,10.9359609,Modena
Motor Valley Accelerator,Modena,Italy,44.5384728,10.9359609,Modena
Flyren Energy Group Srl,Modena,Italy,44.5384728,10.9359609,Modena
Coinvest capital,Vilnius,Lithuania,54.6870458,25.2829111,Vilnius
Tomas Dirvonskas,Vilnius,Lithuania,54.6870458,25.2829111,Vilnius
Paulius Šarka,Vilnius,Lithuania,54.6870458,25.2829111,Vilnius
CoInvest Fund,Vilnius,Lithuania,54.6870458,25.2829111,Vilnius
Equite,Vilnius,Lithuania,54.6870458,25.2829111,Vilnius
EIT Urban Mobility,Barcelona,Spain,41.3828939,2.1774322,Barcelona
HPE Growth,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Shell Ventures,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Evonik Venture Capital,Essen,Germany,51.4582235,7.0158171,Ruhrgebiet
Netherlands Enterprise Agency (RVO),The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Martin Duits,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
Shell,The Hague,Netherlands,52.0799838,4.3113461,'s-Gravenhage
ING Corporate Investments,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Hy24,Paris,France,48.8534951,2.3483915,Paris
The Linde Group,Pullach,Germany,48.0556122,11.5217455,München
Daimler Truck,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
OMV AG,Vienna,Austria,48.2083537,16.3725042,Wien
VINCI Concessions,Rueil-Malmaison,France,48.87778,2.1802832,Paris
Guido Dalessi,Amsterdam,Netherlands,52.3730796,4.8924534,Amsterdam
Koolen Industries,Enschede,Netherlands,52.2209855,6.8940537,Enschede
APEX Ventures,Vienna,Austria,48.2083537,16.3725042,Wien
APEX Energy,Vienna,Austria,48.2083537,16.3725042,Wien
E.ON :agile accelerator,Essen,Germany,51.4582235,7.0158171,Ruhrgebiet
BIC Bizkaia,Bilbao,Spain,43.2630018,-2.9350039,Bilbao
TECNALIA,Bilbao,Spain,43.2630018,-2.9350039,Bilbao
BEAZ,Bilbao,Spain,43.2630018,-2.9350039,Bilbao
TECNALIA Ventures,Bilbao,Spain,43.2630018,-2.9350039,Bilbao
IPM Group,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
Lead Ventures,Budapest,Hungary,47.4813896,19.1460941,Budapest
Slovak Investment Holding,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
Schoeller-Bleckmann Oilfield Equipment,Ternitz,Austria,47.7066007,16.0194688,Sopron
Berlin Technologie Holding,Berlin,Germany,52.510885,13.3989367,Berlin
Neulogy Ventures,Bratislava,Slovakia,48.1592603,17.1396587,Bratislava
VF Venture (Vækstfonden),Copenhagen,Denmark,55.6867243,12.5700724,København
Jeppe Rindom,Copenhagen,Denmark,55.6867243,12.5700724,København
2xN,Copenhagen,Denmark,55.6867243,12.5700724,København
Omnes Capital,Paris,France,48.8534951,2.3483915,Paris
TIIN Capital,Naarden,Netherlands,52.2957628,5.1633636,Soest
Innovation Capital,Paris,France,48.8534951,2.3483915,Paris
TechFund,Paris,France,48.8534951,2.3483915,Paris
Stephen Vernon,Dublin,Ireland,53.3493795,-6.2605593,Dublin
Ireland Strategic Investment Fund,Dublin,Ireland,53.3493795,-6.2605593,Dublin
P Capital Partners,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
Business Venture Partners BVP,Dublin,Ireland,53.3493795,-6.2605593,Dublin
Solas Capital,Dublin,Ireland,53.3493795,-6.2605593,Dublin
MBG Mittelständische Beteiligungsgesellschaft Baden-Württemberg GMBH,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
MBG Baden Wuerttemberg,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
VC Fonds Baden-Württemberg GmbH & Co. KG,Stuttgart,Germany,48.7784485,9.1800132,Stuttgart
Phoenix Contact Innovation Ventures,Blomberg,Germany,51.9434473,9.0967908,Paderborn
Chalmers Ventures,Gothenburg,Sweden,57.7072326,11.9670171,Göteborg
Almi Invest,Stockholm,Sweden,59.3251172,18.0710935,Stockholm
